timestamp_utc,tracking_id,parent_market_name,primary_outcome_to_track,comparison_price,fair_value,fair_value_group_norm,raw_gap,normalized_gap,selected_gap,selected_abs_gap,selected_direction,selected_strength,error_tags,diagnostic_class,analysis_action,group_n,group_fair_sum,group_market_sum,group_mass_flag,use_normalized_for_analysis,price_type,liquidity_flags,markout_status,directional_markout
2026-06-29T18:44:28Z,RSO-0001,"Senate control, 2026",Republican Party,0.575,0.65,0.65,0.075,0.075,0.075,0.075,NO_SIGNAL,none,binary_clean|no_material_signal,no_signal,"Retain for calibration/base rate, not active disagreement.",2,1,1,,false,mid,,,
2026-06-29T18:44:28Z,RSO-0002,"Senate control, 2026",Democratic Party,0.425,0.35,0.35,-0.075,-0.075,-0.075,0.075,NO_SIGNAL,none,binary_clean|no_material_signal,no_signal,"Retain for calibration/base rate, not active disagreement.",2,1,1,,false,mid,,,
2026-06-29T18:44:28Z,RSO-0003,"House control, 2026",Republican Party,0.175,0.45,0.45,0.275,0.275,0.275,0.275,LLM_HIGHER,large,binary_clean|large_gap|markout_pending,clean_binary_disagreement,Track as high-priority disagreement candidate.,2,1,1.01,,false,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0004,"House control, 2026",Democratic Party,0.835,0.55,0.55,-0.285,-0.285,-0.285,0.285,MARKET_HIGHER,large,binary_clean|large_gap|markout_pending,clean_binary_disagreement,Track as high-priority disagreement candidate.,2,1,1.01,,false,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0005,Republican House seats after 2026 midterms,Below 190,0.305,0.15,0.0375,-0.155,-0.2675,-0.2675,0.2675,MARKET_HIGHER,large,probability_mass_incoherence|multi_option_market|range_or_bucket_market|large_gap|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0006,Republican House seats after 2026 midterms,190-194,0.125,0.35,0.0875,0.225,-0.0375,-0.0375,0.0375,NO_SIGNAL,none,probability_mass_incoherence|multi_option_market|range_or_bucket_market|no_material_signal|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0007,Republican House seats after 2026 midterms,195-199,0.165,0.45,0.1125,0.285,-0.0525,-0.0525,0.0525,NO_SIGNAL,none,probability_mass_incoherence|multi_option_market|range_or_bucket_market|no_material_signal|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0008,Republican House seats after 2026 midterms,200-204,0.086,0.45,0.1125,0.364,0.0265,0.0265,0.0265,NO_SIGNAL,none,probability_mass_incoherence|multi_option_market|range_or_bucket_market|no_material_signal|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0009,Republican House seats after 2026 midterms,205-209,0.064,0.45,0.1125,0.386,0.0485,0.0485,0.0485,NO_SIGNAL,none,probability_mass_incoherence|multi_option_market|range_or_bucket_market|no_material_signal|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
2026-06-29T18:44:28Z,RSO-0010,Republican House seats after 2026 midterms,210-214,0.0575,0.45,0.1125,0.3925,0.055,0.055,0.055,NO_SIGNAL,none,probability_mass_incoherence|multi_option_market|range_or_bucket_market|no_material_signal|markout_pending,use_group_prompt_or_normalized_only,Do not use raw row-by-row gap; use normalized/group-prompt estimate and log coherence failure.,10,4,1.035,llm_mass_too_high,true,mid,,PENDING,
