market_num,tracking_id,parent_market_num,parent_market_name,market_name,question,search_query,region,bucket,system_type,underlying_event_group,group,tier,outcome_market_kind,outcome_order,primary_outcome_to_track,exact_polymarket_slug,slug_search_hint,parent_slug_search_hint,selected_reason,status,liquidity_ok,rules_ok,notes
1,RSO-0001,1,"Senate control, 2026","Senate control, 2026 — Republican Party",Which party will win the Senate in 2026?,Will the Republican Party control the Senate after the 2026 Midterm elections?,US,us_national,us_federal,us_senate_control_2026,tracked,core_us,binary_complement_contract,1,Republican Party,TODO_VERIFY,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,which-party-will-win-the-senate-in-2026,Macro Senate control anchor; high-volume central US midterm thesis market.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Complement outcomes; analyze under same event group.
2,RSO-0002,1,"Senate control, 2026","Senate control, 2026 — Democratic Party",Which party will win the Senate in 2026?,Will the Democratic Party control the Senate after the 2026 Midterm elections?,US,us_national,us_federal,us_senate_control_2026,tracked,core_us,binary_complement_contract,2,Democratic Party,TODO_VERIFY,will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,which-party-will-win-the-senate-in-2026,Macro Senate control anchor; high-volume central US midterm thesis market.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Complement outcomes; analyze under same event group.
3,RSO-0003,2,"House control, 2026","House control, 2026 — Republican Party",Which party will win the House in 2026?,Will the Republican Party control the House after the 2026 Midterm elections?,US,us_national,us_federal,us_house_control_2026,tracked,core_us,binary_complement_contract,1,Republican Party,TODO_VERIFY,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,which-party-will-win-the-house-in-2026,Macro House control anchor; high-volume central US midterm thesis market.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Complement outcomes; analyze under same event group.
4,RSO-0004,2,"House control, 2026","House control, 2026 — Democratic Party",Which party will win the House in 2026?,Will the Democratic Party control the House after the 2026 Midterm elections?,US,us_national,us_federal,us_house_control_2026,tracked,core_us,binary_complement_contract,2,Democratic Party,TODO_VERIFY,will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,which-party-will-win-the-house-in-2026,Macro House control anchor; high-volume central US midterm thesis market.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Complement outcomes; analyze under same event group.
5,RSO-0005,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — Below 190,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold below 190 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,1,Below 190,TODO_VERIFY,will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
6,RSO-0006,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 190-194,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 190 and 194 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,2,190-194,TODO_VERIFY,will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
7,RSO-0007,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 195-199,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 195 and 199 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,3,195-199,TODO_VERIFY,will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
8,RSO-0008,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 200-204,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 200 and 204 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,4,200-204,TODO_VERIFY,will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
9,RSO-0009,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 205-209,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 205 and 209 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,5,205-209,TODO_VERIFY,will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
10,RSO-0010,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 210-214,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 210 and 214 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,6,210-214,TODO_VERIFY,will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
