estimate_id,run_id,timestamp_utc,prompt_version,model_backend,model_name,tracking_id,parent_market_name,market_name,primary_outcome_to_track,region,bucket,system_type,underlying_event_group,gamma_market_id,condition_id,exact_polymarket_slug,market_url,token_id,outcome_contract_question,fair_value,confidence,should_abstain,rationale_short,key_uncertainties_json,base_rate_notes,evidence_packet_paths_json,prompt_hash,raw_response,parse_status,error,comparison_price,price_type,liquidity_flags,signal_ready
20260628T054457Z:RSO-0001,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0001,"Senate control, 2026","Senate control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_senate_control_2026,562794,0x86bfb53af7250a40928975c551d12c185b762fa4ce0b40c6a64a50c946d72587,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,51939490109676186832507970701169130490548061087912630009168726706475001411420,Will the Republican Party control the Senate after the 2026 Midterm elections?,0.65,0.75,false,"Republicans start with a 53-47 Senate majority. Democrats need a net gain of four seats, which requires a strong national environment and multiple state-level conversions. Current generic ballot favors Democrats by ~5.8, but Senate maps are state-specific and uneven.","[""National environment strength"", ""Multiple GOP-held states becoming competitive"", ""Polling accuracy in Senate races"", ""Candidate quality effects"", ""District-specific local issues""]",Senate control is more sensitive to state-level dynamics than national trends. Republicans have structural advantage but need to defend seats.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-senate-control-2026.md"", ""evidence/parents/senate-control-2026.md"", ""evidence/markets/RSO-0001.md""]",041a078138c9f026,"{""fair_value"":0.65,""confidence"":0.75,""should_abstain"":false,""rationale_short"":""Republicans start with a 53-47 Senate majority. Democrats need a net gain of four seats, which requires a strong national environment and multiple state-level conversions. Current generic ballot favors Democrats by ~5.8, but Senate maps are state-specific and uneven."",""key_uncertainties"":[""National environment strength"",""Multiple GOP-held states becoming competitive"",""Polling accuracy in Senate races"",""Candidate quality effects"",""District-specific local issues""],""base_rate_notes"":""Senate control is more sensitive to state-level dynamics than national trends. Republicans have structural advantage but need to defend seats.""}",OK,,0.575,mid,,true
20260628T054457Z:RSO-0002,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0002,"Senate control, 2026","Senate control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_senate_control_2026,562793,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,113287701564209339913693347405685749986285999146352375265161592243948562084773,Will the Democratic Party control the Senate after the 2026 Midterm elections?,0.35,0.65,false,"Democratic control requires strong national environment and multiple state-level conversions, which are plausible but not certain.","[""National environment strength"", ""Conversion of multiple GOP-held states"", ""Polling accuracy"", ""Candidate quality effects"", ""District-specific dynamics""]",Republicans start with 53-47 majority; Democrats need net gain of 4 seats for control.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-senate-control-2026.md"", ""evidence/parents/senate-control-2026.md"", ""evidence/markets/RSO-0002.md""]",db325699fd24b566,"{""fair_value"":0.35,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Democratic control requires strong national environment and multiple state-level conversions, which are plausible but not certain."",""key_uncertainties"":[""National environment strength"",""Conversion of multiple GOP-held states"",""Polling accuracy"",""Candidate quality effects"",""District-specific dynamics""],""base_rate_notes"":""Republicans start with 53-47 majority; Democrats need net gain of 4 seats for control.""}",OK,,0.425,mid,,true
20260628T054457Z:RSO-0003,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0003,"House control, 2026","House control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_house_control_2026,562803,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-house-after-the-2026-midterm-elections,65139230827417363158752884968303867495725894165574887635816574090175320800482,Will the Republican Party control the House after the 2026 Midterm elections?,0.45,0.65,false,"Democratic advantage in generic ballot suggests plausible Democratic control, but Republican resilience due to districting and incumbency keeps it competitive.","[""National mood shifts"", ""Districting changes"", ""Incumbent performance"", ""Candidate quality"", ""Turnout dynamics""]",Base rate reflects mid-single-digit Democratic advantage and historical midterm trends.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-control-2026.md"", ""evidence/parents/house-control-2026.md"", ""evidence/markets/RSO-0003.md""]",b0f1af4ecbe14a94,"{""fair_value"":0.45,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Democratic advantage in generic ballot suggests plausible Democratic control, but Republican resilience due to districting and incumbency keeps it competitive."",""key_uncertainties"":[""National mood shifts"",""Districting changes"",""Incumbent performance"",""Candidate quality"",""Turnout dynamics""],""base_rate_notes"":""Base rate reflects mid-single-digit Democratic advantage and historical midterm trends.""}",OK,,0.175,mid,,true
20260628T054457Z:RSO-0004,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0004,"House control, 2026","House control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_house_control_2026,562802,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,83247781037352156539108067944461291821683755894607244160607042790356561625563,Will the Democratic Party control the House after the 2026 Midterm elections?,0.55,0.7,false,"Democratic control is plausible with a mid-single-digit generic ballot lead, but Republican control remains viable due to districting and incumbency factors.","[""National generic ballot stability"", ""Districting impacts"", ""Incumbent performance"", ""Candidate quality variations"", ""Turnout dynamics""]","Base rate reflects mid-single-digit Democratic advantage in generic ballot, with House control more sensitive to national environment than Senate.","[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-control-2026.md"", ""evidence/parents/house-control-2026.md"", ""evidence/markets/RSO-0004.md""]",3ea513745f0cb0c7,"{""fair_value"":0.55,""confidence"":0.7,""should_abstain"":false,""rationale_short"":""Democratic control is plausible with a mid-single-digit generic ballot lead, but Republican control remains viable due to districting and incumbency factors."",""key_uncertainties"":[""National generic ballot stability"",""Districting impacts"",""Incumbent performance"",""Candidate quality variations"",""Turnout dynamics""],""base_rate_notes"":""Base rate reflects mid-single-digit Democratic advantage in generic ballot, with House control more sensitive to national environment than Senate.""}",OK,,0.835,mid,,true
20260628T054457Z:RSO-0005,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0005,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — Below 190,Below 190,US,us_national,us_federal,us_house_seat_range_2026,919489,0xa2e43598547f2e90e3eee195812c8814202b9b66f6c540d7e15a265cbe93f68f,will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,106321904011141120286469207995805275978977204556483905903452161304048552011252,Will the Republican Party hold below 190 House seats after the 2026 midterm elections?,0.15,0.6,false,"Democratic advantage and midterm headwinds suggest GOP below 190 is a tail event, but not impossible.","[""National generic ballot strength"", ""Wave size"", ""Districting changes"", ""Candidate quality"", ""Economic conditions""]","Base rate considers mid-single-digit D advantage, GOP starting at 218, and midterm headwinds.","[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0005.md""]",6ffcdcf7c9fea823,"{""fair_value"":0.15,""confidence"":0.6,""should_abstain"":false,""rationale_short"":""Democratic advantage and midterm headwinds suggest GOP below 190 is a tail event, but not impossible."",""key_uncertainties"":[""National generic ballot strength"",""Wave size"",""Districting changes"",""Candidate quality"",""Economic conditions""],""base_rate_notes"":""Base rate considers mid-single-digit D advantage, GOP starting at 218, and midterm headwinds.""}",OK,,0.305,mid,,true
20260628T054457Z:RSO-0006,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0006,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 190-194,190-194,US,us_national,us_federal,us_house_seat_range_2026,919490,0x18cc1dd29f0b816135d5337cebae4d1f8b42a2c8b951e893936f35fd235ecc94,will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,28563039514548428320768176747354466148898869862983186828076262234559578730437,Will the Republican Party hold between 190 and 194 House seats after the 2026 midterm elections?,0.35,0.65,false,Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 190 are plausible but not certain. Range tails are sensitive to wave size.,"[""National environment shifts"", ""Wave magnitude"", ""Candidate quality effects"", ""District-specific dynamics"", ""Polling accuracy""]",Base rate assumes mid-single-digit Democratic advantage translating to GOP seat range below 190 with moderate probability.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0006.md""]",426a3eaf9966e7cc,"{""fair_value"":0.35,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 190 are plausible but not certain. Range tails are sensitive to wave size."",""key_uncertainties"":[""National environment shifts"",""Wave magnitude"",""Candidate quality effects"",""District-specific dynamics"",""Polling accuracy""],""base_rate_notes"":""Base rate assumes mid-single-digit Democratic advantage translating to GOP seat range below 190 with moderate probability.""}",OK,,0.125,mid,,true
20260628T054457Z:RSO-0007,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0007,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 195-199,195-199,US,us_national,us_federal,us_house_seat_range_2026,919491,0xa6af312109c285d70f39a4f8d8e3d4a2e7e12bcabe5ab03527396a3a1377925d,will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,115193834526916935745756977772378619467834046854963255708898687971795314424675,Will the Republican Party hold between 195 and 199 House seats after the 2026 midterm elections?,0.35,0.65,false,"Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but 195-199 is a moderate range requiring balance between wave size and structural factors.","[""National environment shift magnitude"", ""Districting changes"", ""Candidate quality impacts"", ""Turnout patterns"", ""Wave size variability""]","Based on historical midterms and current generic ballot trends, GOP seat ranges below 218 are considered plausible but not certain.","[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0007.md""]",471d791aa1df6e06,"{""fair_value"":0.35,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but 195-199 is a moderate range requiring balance between wave size and structural factors."",""key_uncertainties"":[""National environment shift magnitude"",""Districting changes"",""Candidate quality impacts"",""Turnout patterns"",""Wave size variability""],""base_rate_notes"":""Based on historical midterms and current generic ballot trends, GOP seat ranges below 218 are considered plausible but not certain.""}",OK,,0.165,mid,,true
20260628T054457Z:RSO-0008,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0008,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 200-204,200-204,US,us_national,us_federal,us_house_seat_range_2026,919492,0x7ff4e4b2f389acdd96ef18bb34684b9219a972b7ef0cde5856d28f5d5325f3d4,will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,72002069499527925398637560287453277989370912181886433715927009264225913591577,Will the Republican Party hold between 200 and 204 House seats after the 2026 midterm elections?,0.45,0.65,false,"Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but 200-204 is a moderate range with significant uncertainty.","[""National environment shift"", ""Districting effects"", ""Candidate quality variations"", ""Turnout patterns"", ""Wave size""]",Base rate considers mid-single-digit Democratic advantage and historical midterm trends.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0008.md""]",8a526abd6a6bb91b,"{""fair_value"":0.45,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but 200-204 is a moderate range with significant uncertainty."",""key_uncertainties"":[""National environment shift"",""Districting effects"",""Candidate quality variations"",""Turnout patterns"",""Wave size""],""base_rate_notes"":""Base rate considers mid-single-digit Democratic advantage and historical midterm trends.""}",OK,,0.086,mid,,true
20260628T054457Z:RSO-0009,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0009,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 205-209,205-209,US,us_national,us_federal,us_house_seat_range_2026,919493,0x55f8333c05a9693135c74efeb660c473d9b7a46c02be73ce828914313dda5faf,will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,29313994937981195788931635785989333043799554756927714294439868926183474951020,Will the Republican Party hold between 205 and 209 House seats after the 2026 midterm elections?,0.45,0.65,false,"Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below majority are plausible, but range tails are sensitive to wave size. 205-209 is a moderate range given current evidence.","[""National environment shift"", ""Wave size uncertainty"", ""District-specific dynamics"", ""Candidate quality impact"", ""Turnout patterns""]","Base rate considers current House composition, generic ballot trends, and historical midterm patterns.","[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0009.md""]",4fe9ce9372cddf49,"{""fair_value"":0.45,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below majority are plausible, but range tails are sensitive to wave size. 205-209 is a moderate range given current evidence."",""key_uncertainties"":[""National environment shift"",""Wave size uncertainty"",""District-specific dynamics"",""Candidate quality impact"",""Turnout patterns""],""base_rate_notes"":""Base rate considers current House composition, generic ballot trends, and historical midterm patterns.""}",OK,,0.064,mid,,true
20260628T054457Z:RSO-0010,20260628T054457Z,2026-06-28T05:44:57Z,fair_value_v0.1,ollama,qwen3:8b,RSO-0010,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 210-214,210-214,US,us_national,us_federal,us_house_seat_range_2026,919494,0xf301c0842eeb33bd0a7718e4775bfb98b326a28bf837e18d65057e3516a5f6cb,will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,54380927206833851183661949055792883595494421437547231435217946779970572480742,Will the Republican Party hold between 210 and 214 House seats after the 2026 midterm elections?,0.45,0.65,false,"Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but range-specific probabilities require balancing wave size and structural factors.","[""National environment shift magnitude"", ""Districting changes"", ""Candidate quality impacts"", ""Turnout dynamics"", ""Wave size variability""]",Base rate assumes mid-single-digit Democratic advantage translating to GOP seat range around 210-214 with moderate probability.,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/us-house-seat-range-2026.md"", ""evidence/parents/republican-house-seats-after-2026-midterms.md"", ""evidence/markets/RSO-0010.md""]",3edbd386d5bde4e0,"{""fair_value"":0.45,""confidence"":0.65,""should_abstain"":false,""rationale_short"":""Mid-single-digit Democratic generic ballot advantage suggests GOP seat counts below 218 are plausible, but range-specific probabilities require balancing wave size and structural factors."",""key_uncertainties"":[""National environment shift magnitude"",""Districting changes"",""Candidate quality impacts"",""Turnout dynamics"",""Wave size variability""],""base_rate_notes"":""Base rate assumes mid-single-digit Democratic advantage translating to GOP seat range around 210-214 with moderate probability.""}",OK,,0.0575,mid,,true
