markout_id,source_run_id,source_timestamp_utc,horizon,target_timestamp_utc,future_timestamp_utc,markout_status,tracking_id,parent_market_name,primary_outcome_to_track,signal_mode,signal_direction,signal_strength,entry_price,future_price,price_change,directional_markout,entry_fair_value,entry_gap,entry_abs_gap,entry_price_type,future_price_type,entry_liquidity_flags,future_liquidity_flags,group_mass_flag,use_normalized_for_analysis
20260629T155053Z:RSO-0003:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,raw,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0003:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,raw,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0003:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,raw,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0003:normalized:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,normalized,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0003:normalized:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,normalized,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0003:normalized:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0003,"House control, 2026",Republican Party,normalized,LLM_HIGHER,large,0.175,,,,0.45,0.275,0.275,mid,,,,,false
20260629T155053Z:RSO-0004:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,raw,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0004:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,raw,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0004:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,raw,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0004:normalized:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,normalized,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0004:normalized:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,normalized,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0004:normalized:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0004,"House control, 2026",Democratic Party,normalized,MARKET_HIGHER,large,0.835,,,,0.55,-0.285,0.285,mid,,,,,false
20260629T155053Z:RSO-0005:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,raw,MARKET_HIGHER,medium,0.305,,,,0.15,-0.155,0.155,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0005:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,raw,MARKET_HIGHER,medium,0.305,,,,0.15,-0.155,0.155,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0005:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,raw,MARKET_HIGHER,medium,0.305,,,,0.15,-0.155,0.155,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0005:normalized:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,normalized,MARKET_HIGHER,large,0.305,,,,0.0375,-0.2675,0.2675,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0005:normalized:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,normalized,MARKET_HIGHER,large,0.305,,,,0.0375,-0.2675,0.2675,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0005:normalized:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0005,Republican House seats after 2026 midterms,Below 190,normalized,MARKET_HIGHER,large,0.305,,,,0.0375,-0.2675,0.2675,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0006:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0006,Republican House seats after 2026 midterms,190-194,raw,LLM_HIGHER,medium,0.125,,,,0.35,0.225,0.225,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0006:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0006,Republican House seats after 2026 midterms,190-194,raw,LLM_HIGHER,medium,0.125,,,,0.35,0.225,0.225,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0006:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0006,Republican House seats after 2026 midterms,190-194,raw,LLM_HIGHER,medium,0.125,,,,0.35,0.225,0.225,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0007:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0007,Republican House seats after 2026 midterms,195-199,raw,LLM_HIGHER,large,0.165,,,,0.45,0.285,0.285,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0007:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0007,Republican House seats after 2026 midterms,195-199,raw,LLM_HIGHER,large,0.165,,,,0.45,0.285,0.285,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0007:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0007,Republican House seats after 2026 midterms,195-199,raw,LLM_HIGHER,large,0.165,,,,0.45,0.285,0.285,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0008:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0008,Republican House seats after 2026 midterms,200-204,raw,LLM_HIGHER,large,0.086,,,,0.45,0.364,0.364,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0008:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0008,Republican House seats after 2026 midterms,200-204,raw,LLM_HIGHER,large,0.086,,,,0.45,0.364,0.364,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0008:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0008,Republican House seats after 2026 midterms,200-204,raw,LLM_HIGHER,large,0.086,,,,0.45,0.364,0.364,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0009:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0009,Republican House seats after 2026 midterms,205-209,raw,LLM_HIGHER,large,0.064,,,,0.45,0.386,0.386,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0009:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0009,Republican House seats after 2026 midterms,205-209,raw,LLM_HIGHER,large,0.064,,,,0.45,0.386,0.386,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0009:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0009,Republican House seats after 2026 midterms,205-209,raw,LLM_HIGHER,large,0.064,,,,0.45,0.386,0.386,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0010:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0010,Republican House seats after 2026 midterms,210-214,raw,LLM_HIGHER,large,0.0575,,,,0.45,0.3925,0.3925,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0010:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0010,Republican House seats after 2026 midterms,210-214,raw,LLM_HIGHER,large,0.0575,,,,0.45,0.3925,0.3925,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0010:raw:30d,20260629T155053Z,2026-06-29T15:50:53Z,30d,2026-07-29T15:50:53Z,,PENDING,RSO-0010,Republican House seats after 2026 midterms,210-214,raw,LLM_HIGHER,large,0.0575,,,,0.45,0.3925,0.3925,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0011:raw:1d,20260629T155053Z,2026-06-29T15:50:53Z,1d,2026-06-30T15:50:53Z,,PENDING,RSO-0011,Republican House seats after 2026 midterms,215-219,raw,LLM_HIGHER,large,0.0975,,,,0.45,0.3525,0.3525,mid,,,,llm_mass_too_high,true
20260629T155053Z:RSO-0011:raw:7d,20260629T155053Z,2026-06-29T15:50:53Z,7d,2026-07-06T15:50:53Z,,PENDING,RSO-0011,Republican House seats after 2026 midterms,215-219,raw,LLM_HIGHER,large,0.0975,,,,0.45,0.3525,0.3525,mid,,,,llm_mass_too_high,true
