signal_input_id,snapshot_id,timestamp_utc,tracking_id,parent_market_name,market_name,primary_outcome_to_track,region,bucket,system_type,underlying_event_group,gamma_market_id,condition_id,exact_polymarket_slug,market_url,token_label,token_id,outcome_contract_question,source_orderbook_status,best_bid,best_ask,mid,spread,comparison_price,price_type,executable_buy_price,executable_sell_price,bid_size_at_best,ask_size_at_best,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_depth_1c,ask_depth_3c,ask_depth_5c,total_bid_depth,total_ask_depth,liquidity_flags,signal_ready,skip_reason,book_timestamp,book_hash
20260628T054019Z:RSO-0001:YES:1,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0001,"Senate control, 2026","Senate control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_senate_control_2026,562794,0x86bfb53af7250a40928975c551d12c185b762fa4ce0b40c6a64a50c946d72587,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,YES,51939490109676186832507970701169130490548061087912630009168726706475001411420,Will the Republican Party control the Senate after the 2026 Midterm elections?,OK,0.57,0.58,0.575,0.01,0.575,mid,0.58,0.57,1156.84,1641.62,3002.76,5363.09,12674.85,8022.05,22429.19,27207.19,2168260.41,3599273.5,,true,,1782625216217,6e128f6c93dc7217fe4170cdc608eafbeaedcb9c
20260628T054019Z:RSO-0002:YES:2,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0002,"Senate control, 2026","Senate control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_senate_control_2026,562793,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,YES,113287701564209339913693347405685749986285999146352375265161592243948562084773,Will the Democratic Party control the Senate after the 2026 Midterm elections?,OK,0.42,0.43,0.425,0.01,0.425,mid,0.43,0.42,1065.51,4711.1,16219.88,24154.4,24204.4,29227.26,33808.6,56670.65,2290793.31,3832586.88,,true,,1782625217094,dc45bee1551cc4463b2f69497eba27f885021728
20260628T054019Z:RSO-0003:YES:3,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0003,"House control, 2026","House control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_house_control_2026,562803,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-house-after-the-2026-midterm-elections,YES,65139230827417363158752884968303867495725894165574887635816574090175320800482,Will the Republican Party control the House after the 2026 Midterm elections?,OK,0.17,0.18,0.175,0.01,0.175,mid,0.18,0.17,76525.9,100238.94,93189.02,121935.97,148769.97,187908.62,284446.5,314646.5,1808769.66,4061116.46,,true,,1782625216546,04e29f5ad15e9bc463d7a9f675d29e91eeafcbd5
20260628T054019Z:RSO-0004:YES:4,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0004,"House control, 2026","House control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_house_control_2026,562802,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,YES,83247781037352156539108067944461291821683755894607244160607042790356561625563,Will the Democratic Party control the House after the 2026 Midterm elections?,OK,0.83,0.84,0.835,0.01,0.835,mid,0.84,0.83,3391.46,24093.28,54092.56,183756.08,254785.31,47554.4,106278.37,128757.2,3807241.22,1631230.42,,true,,1782625217266,9c989b5e468c1234d8ccad552c526e4a5ed14a41
20260628T054019Z:RSO-0005:YES:5,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0005,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — Below 190,Below 190,US,us_national,us_federal,us_house_seat_range_2026,919489,0xa2e43598547f2e90e3eee195812c8814202b9b66f6c540d7e15a265cbe93f68f,will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,YES,106321904011141120286469207995805275978977204556483905903452161304048552011252,Will the Republican Party hold below 190 House seats after the 2026 midterm elections?,OK,0.3,0.31,0.305,0.01,0.305,mid,0.31,0.3,166.5,165,266.5,5628.44,5668.44,418.12,468.02,608.64,52517.36,106631.22,,true,,1782625219128,4ecdfb59bd1d4bdf031f4f994fbaea38b7ab649b
20260628T054019Z:RSO-0006:YES:6,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0006,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 190-194,190-194,US,us_national,us_federal,us_house_seat_range_2026,919490,0x18cc1dd29f0b816135d5337cebae4d1f8b42a2c8b951e893936f35fd235ecc94,will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,YES,28563039514548428320768176747354466148898869862983186828076262234559578730437,Will the Republican Party hold between 190 and 194 House seats after the 2026 midterm elections?,OK,0.12,0.13,0.125,0.01,0.125,mid,0.13,0.12,187.39,206,237.39,1022.69,1137.69,261,598,686.92,17610.12,176099.28,,true,,1782625219220,0bd61d2e6ad33b30971404e797bfffe60f623f41
20260628T054019Z:RSO-0007:YES:7,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0007,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 195-199,195-199,US,us_national,us_federal,us_house_seat_range_2026,919491,0xa6af312109c285d70f39a4f8d8e3d4a2e7e12bcabe5ab03527396a3a1377925d,will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,YES,115193834526916935745756977772378619467834046854963255708898687971795314424675,Will the Republican Party hold between 195 and 199 House seats after the 2026 midterm elections?,OK,0.16,0.17,0.165,0.01,0.165,mid,0.17,0.16,36,50,116.94,226.11,1189.11,260.93,473.85,882.85,8644.71,173630.29,,true,,1782625219007,e8ecd2705bde464eebb5887c7137be1a3b58b2aa
20260628T054019Z:RSO-0008:YES:8,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0008,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 200-204,200-204,US,us_national,us_federal,us_house_seat_range_2026,919492,0x7ff4e4b2f389acdd96ef18bb34684b9219a972b7ef0cde5856d28f5d5325f3d4,will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,YES,72002069499527925398637560287453277989370912181886433715927009264225913591577,Will the Republican Party hold between 200 and 204 House seats after the 2026 midterm elections?,OK,0.085,0.087,0.086,0.002,0.086,mid,0.087,0.085,199.99,20,446.99,596.85,738.76,125,130,251,97149.43,602479.41,,true,,1782625217084,d49d5c3b1960d4ee2449a08dff786b082afba964
20260628T054019Z:RSO-0009:YES:9,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0009,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 205-209,205-209,US,us_national,us_federal,us_house_seat_range_2026,919493,0x55f8333c05a9693135c74efeb660c473d9b7a46c02be73ce828914313dda5faf,will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,YES,29313994937981195788931635785989333043799554756927714294439868926183474951020,Will the Republican Party hold between 205 and 209 House seats after the 2026 midterm elections?,OK,0.06,0.068,0.064,0.008,0.064,mid,0.068,0.06,251,22,346.85,1232.95,3678.15,73.42,73.42,365.47,74803.8,308169.17,,true,,1782625217290,b85ea107b7f913fff5e415cf68cb65ae45532266
20260628T054019Z:RSO-0010:YES:10,20260628T054019Z,2026-06-28T05:40:19Z,RSO-0010,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 210-214,210-214,US,us_national,us_federal,us_house_seat_range_2026,919494,0xf301c0842eeb33bd0a7718e4775bfb98b326a28bf837e18d65057e3516a5f6cb,will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,YES,54380927206833851183661949055792883595494421437547231435217946779970572480742,Will the Republican Party hold between 210 and 214 House seats after the 2026 midterm elections?,OK,0.05,0.065,0.0575,0.015,0.0575,mid,0.065,0.05,8.98,10,114.82,4041.6,114886.87,35.1,35.1,139.65,114886.87,551513.94,,true,,1782625219218,b647e556d3cd2b1d5f4107b596d41fa5047e46fa
