group_estimate_id,run_id,timestamp_utc,prompt_version,model_backend,model_name,parent_market_name,group_key,group_n,tracking_id,primary_outcome_to_track,outcome_contract_question,region,bucket,system_type,underlying_event_group,gamma_market_id,condition_id,exact_polymarket_slug,market_url,token_id,group_fair_value_raw,group_fair_value_norm,group_confidence,outcome_rationale_short,group_rationale_short,key_uncertainties_json,allocation_sum_raw,normalization_applied,evidence_packet_paths_json,prompt_hash,raw_response,parse_status,error,comparison_price,price_type,liquidity_flags,signal_ready
20260629T165303Z:Alaska Senate Election Winner:RSO-0030,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Alaska Senate Election Winner,Alaska Senate Election Winner,5,RSO-0030,Mary Peltola,Will Mary Peltola win the Alaska Senate race in 2026?,US,us_senate,us_statewide,alaska_senate_2026,634976,0x19d2ff72e389d190c183e6b114817301d29eba651d67d75a38ee201a05188fd9,will-mary-peltola-win-the-alaska-senate-race-in-2026,https://polymarket.com/event/will-mary-peltola-win-the-alaska-senate-race-in-2026,72139607190315861034411702195742538105117960260100800877125381826122747504258,0.07720588,0.07720588,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999999,false,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/alaska-senate-2026.md"", ""evidence/parents/alaska-senate-election-winner.md"", ""evidence/markets/RSO-0030.md"", ""evidence/markets/RSO-0031.md"", ""evidence/markets/RSO-0032.md"", ""evidence/markets/RSO-0033.md"", ""evidence/markets/RSO-0034.md""]",03eec6a64e873561,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0030"", ""fair_value"": 0.07720588235294118, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0031"", ""fair_value"": 0.06985294117647059, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0032"", ""fair_value"": 0.23897058823529413, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0033"", ""fair_value"": 0.2757352941176471, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0034"", ""fair_value"": 0.3382352941176471, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.695,mid,,true
20260629T165303Z:Alaska Senate Election Winner:RSO-0031,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Alaska Senate Election Winner,Alaska Senate Election Winner,5,RSO-0031,Dan Sullivan,Will Dan Sullivan win the Alaska Senate race in 2026?,US,us_senate,us_statewide,alaska_senate_2026,634974,0x741bb46008b72234857c5118c8365ab3c2f69dbf28b30b59de04f173b8a778de,will-dan-sullivan-win-the-alaska-senate-race-in-2026,https://polymarket.com/event/will-dan-sullivan-win-the-alaska-senate-race-in-2026,2618138322856109565904469085316346602627882727483900432328802655317079880335,0.06985294,0.06985294,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999999,false,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/alaska-senate-2026.md"", ""evidence/parents/alaska-senate-election-winner.md"", ""evidence/markets/RSO-0030.md"", ""evidence/markets/RSO-0031.md"", ""evidence/markets/RSO-0032.md"", ""evidence/markets/RSO-0033.md"", ""evidence/markets/RSO-0034.md""]",03eec6a64e873561,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0030"", ""fair_value"": 0.07720588235294118, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0031"", ""fair_value"": 0.06985294117647059, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0032"", ""fair_value"": 0.23897058823529413, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0033"", ""fair_value"": 0.2757352941176471, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0034"", ""fair_value"": 0.3382352941176471, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.305,mid,,true
20260629T165303Z:Alaska Senate Election Winner:RSO-0032,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Alaska Senate Election Winner,Alaska Senate Election Winner,5,RSO-0032,Dustin Darden,Will Dustin Darden win the Alaska Senate race in 2026?,US,us_senate,us_statewide,alaska_senate_2026,634977,0xec751bd3e1cf4d22a1dee41ee85c7304bdb7b6ed6dccc807e88ef2603b4a6449,will-dustin-darden-win-the-alaska-senate-race-in-2026,https://polymarket.com/event/will-dustin-darden-win-the-alaska-senate-race-in-2026,29311755935786363205680204536643787054260832125056777867606384726291200747800,0.23897059,0.23897059,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999999,false,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/alaska-senate-2026.md"", ""evidence/parents/alaska-senate-election-winner.md"", ""evidence/markets/RSO-0030.md"", ""evidence/markets/RSO-0031.md"", ""evidence/markets/RSO-0032.md"", ""evidence/markets/RSO-0033.md"", ""evidence/markets/RSO-0034.md""]",03eec6a64e873561,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0030"", ""fair_value"": 0.07720588235294118, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0031"", ""fair_value"": 0.06985294117647059, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0032"", ""fair_value"": 0.23897058823529413, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0033"", ""fair_value"": 0.2757352941176471, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0034"", ""fair_value"": 0.3382352941176471, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.001,ask_only,no_bids,true
20260629T165303Z:Alaska Senate Election Winner:RSO-0033,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Alaska Senate Election Winner,Alaska Senate Election Winner,5,RSO-0033,Ann Diener,Will Ann Diener win the Alaska Senate race in 2026?,US,us_senate,us_statewide,alaska_senate_2026,634975,0xa26ab383a1f115fa8d2b0fcbac29bcd6a9843ec8c1d160b0a122917230c3c96a,will-ann-diener-win-the-alaska-senate-race-in-2026,https://polymarket.com/event/will-ann-diener-win-the-alaska-senate-race-in-2026,20310786951537091150920478212676759242565921145568245906943451694162568762258,0.27573529,0.27573529,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999999,false,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/alaska-senate-2026.md"", ""evidence/parents/alaska-senate-election-winner.md"", ""evidence/markets/RSO-0030.md"", ""evidence/markets/RSO-0031.md"", ""evidence/markets/RSO-0032.md"", ""evidence/markets/RSO-0033.md"", ""evidence/markets/RSO-0034.md""]",03eec6a64e873561,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0030"", ""fair_value"": 0.07720588235294118, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0031"", ""fair_value"": 0.06985294117647059, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0032"", ""fair_value"": 0.23897058823529413, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0033"", ""fair_value"": 0.2757352941176471, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0034"", ""fair_value"": 0.3382352941176471, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.001,ask_only,no_bids,true
20260629T165303Z:Alaska Senate Election Winner:RSO-0034,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Alaska Senate Election Winner,Alaska Senate Election Winner,5,RSO-0034,Richard Grayson,Will Richard Grayson win the Alaska Senate race in 2026?,US,us_senate,us_statewide,alaska_senate_2026,634978,0x998ee2bd25cea8e07eaf1b1f1be82ba6c3ecfd74c28a87497786103d84fd06d8,will-richard-grayson-win-the-alaska-senate-race-in-2026,https://polymarket.com/event/will-richard-grayson-win-the-alaska-senate-race-in-2026,59588004575158257289531312065982350985369269880352045258164216668046489178917,0.33823529,0.33823529,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999999,false,"[""evidence/shared/us_midterms_context.md"", ""evidence/parents/alaska-senate-2026.md"", ""evidence/parents/alaska-senate-election-winner.md"", ""evidence/markets/RSO-0030.md"", ""evidence/markets/RSO-0031.md"", ""evidence/markets/RSO-0032.md"", ""evidence/markets/RSO-0033.md"", ""evidence/markets/RSO-0034.md""]",03eec6a64e873561,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0030"", ""fair_value"": 0.07720588235294118, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0031"", ""fair_value"": 0.06985294117647059, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0032"", ""fair_value"": 0.23897058823529413, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0033"", ""fair_value"": 0.2757352941176471, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0034"", ""fair_value"": 0.3382352941176471, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.001,ask_only,no_bids,true
20260629T165303Z:Brazil Presidential Election:RSO-0076,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Brazil Presidential Election,Brazil Presidential Election,17,RSO-0076,Luiz Inácio Lula da Silva,Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,Brazil,brazil_presidential,presidential_two_round,brazil_president_winner_2026,601819,0xdf8e2dc5860027decbe6164555c3c1c9645c3bd33e16b9dc57ca87125047d4a8,will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election,30630994248667897740988010928640156931882346081873066002335460180076741328029,0.07692308,0.07692308,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999998,false,"[""evidence/shared/brazil_context.md"", ""evidence/parents/brazil-president-winner-2026.md"", ""evidence/parents/brazil-presidential-election.md""]",a29ddd32d0c0c158,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0076"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0077"", ""fair_value"": 0.07362637362637363, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0078"", ""fair_value"": 0.07582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0079"", ""fair_value"": 0.013186813186813187, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0080"", ""fair_value"": 0.05384615384615385, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0081"", ""fair_value"": 0.024175824175824177, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0082"", ""fair_value"": 0.1021978021978022, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0083"", ""fair_value"": 0.07802197802197802, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0084"", ""fair_value"": 0.07142857142857142, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0085"", ""fair_value"": 0.0032967032967032967, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0086"", ""fair_value"": 0.08461538461538462, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0087"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0088"", ""fair_value"": 0.08241758241758242, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0089"", ""fair_value"": 0.051648351648351645, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0090"", ""fair_value"": 0.1043956043956044, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0091"", ""fair_value"": 0.017582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0092"", ""fair_value"": 0.00989010989010989, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.565,mid,,true
20260629T165303Z:Brazil Presidential Election:RSO-0077,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Brazil Presidential Election,Brazil Presidential Election,17,RSO-0077,Flávio Bolsonaro,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,Brazil,brazil_presidential,presidential_two_round,brazil_president_winner_2026,601826,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election,109876868437950584369987384406356259939519193117253465815665152916226511121427,0.07362637,0.07362637,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999998,false,"[""evidence/shared/brazil_context.md"", ""evidence/parents/brazil-president-winner-2026.md"", ""evidence/parents/brazil-presidential-election.md""]",a29ddd32d0c0c158,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0076"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0077"", ""fair_value"": 0.07362637362637363, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0078"", ""fair_value"": 0.07582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0079"", ""fair_value"": 0.013186813186813187, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0080"", ""fair_value"": 0.05384615384615385, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0081"", ""fair_value"": 0.024175824175824177, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0082"", ""fair_value"": 0.1021978021978022, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0083"", ""fair_value"": 0.07802197802197802, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0084"", ""fair_value"": 0.07142857142857142, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0085"", ""fair_value"": 0.0032967032967032967, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0086"", ""fair_value"": 0.08461538461538462, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0087"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0088"", ""fair_value"": 0.08241758241758242, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0089"", ""fair_value"": 0.051648351648351645, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0090"", ""fair_value"": 0.1043956043956044, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0091"", ""fair_value"": 0.017582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0092"", ""fair_value"": 0.00989010989010989, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.2215,mid,,true
20260629T165303Z:Brazil Presidential Election:RSO-0078,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Brazil Presidential Election,Brazil Presidential Election,17,RSO-0078,Renan Santos,Will Renan Santos win the 2026 Brazilian presidential election?,Brazil,brazil_presidential,presidential_two_round,brazil_president_winner_2026,601825,0x05297f854d3b757d5e51a1a29c7f225a80b14b2a161d6b7f9a61677da7a80ced,will-renan-santos-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-renan-santos-win-the-2026-brazilian-presidential-election,93998891488819623915454849994768171534113749478841216025646247933473925258016,0.07582418,0.07582418,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999998,false,"[""evidence/shared/brazil_context.md"", ""evidence/parents/brazil-president-winner-2026.md"", ""evidence/parents/brazil-presidential-election.md""]",a29ddd32d0c0c158,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0076"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0077"", ""fair_value"": 0.07362637362637363, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0078"", ""fair_value"": 0.07582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0079"", ""fair_value"": 0.013186813186813187, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0080"", ""fair_value"": 0.05384615384615385, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0081"", ""fair_value"": 0.024175824175824177, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0082"", ""fair_value"": 0.1021978021978022, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0083"", ""fair_value"": 0.07802197802197802, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0084"", ""fair_value"": 0.07142857142857142, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0085"", ""fair_value"": 0.0032967032967032967, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0086"", ""fair_value"": 0.08461538461538462, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0087"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0088"", ""fair_value"": 0.08241758241758242, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0089"", ""fair_value"": 0.051648351648351645, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0090"", ""fair_value"": 0.1043956043956044, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0091"", ""fair_value"": 0.017582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0092"", ""fair_value"": 0.00989010989010989, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.1155,mid,,true
20260629T165303Z:Brazil Presidential Election:RSO-0079,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Brazil Presidential Election,Brazil Presidential Election,17,RSO-0079,Michelle Bolsonaro,Will Michelle Bolsonaro win the 2026 Brazilian presidential election?,Brazil,brazil_presidential,presidential_two_round,brazil_president_winner_2026,601822,0x37ec4c6b57a18b16eed1241f6155ee7ff45bc1697d7848f15ac33d406e38ed00,will-michelle-bolsonaro-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-michelle-bolsonaro-win-the-2026-brazilian-presidential-election,91154058715822908897619103072380844452822017332608583147987152526225529443892,0.01318681,0.01318681,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999998,false,"[""evidence/shared/brazil_context.md"", ""evidence/parents/brazil-president-winner-2026.md"", ""evidence/parents/brazil-presidential-election.md""]",a29ddd32d0c0c158,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0076"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0077"", ""fair_value"": 0.07362637362637363, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0078"", ""fair_value"": 0.07582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0079"", ""fair_value"": 0.013186813186813187, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0080"", ""fair_value"": 0.05384615384615385, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0081"", ""fair_value"": 0.024175824175824177, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0082"", ""fair_value"": 0.1021978021978022, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0083"", ""fair_value"": 0.07802197802197802, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0084"", ""fair_value"": 0.07142857142857142, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0085"", ""fair_value"": 0.0032967032967032967, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0086"", ""fair_value"": 0.08461538461538462, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0087"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0088"", ""fair_value"": 0.08241758241758242, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0089"", ""fair_value"": 0.051648351648351645, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0090"", ""fair_value"": 0.1043956043956044, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0091"", ""fair_value"": 0.017582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0092"", ""fair_value"": 0.00989010989010989, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.028,mid,,true
20260629T165303Z:Brazil Presidential Election:RSO-0080,20260629T165303Z,2026-06-29T16:53:03Z,group_fair_value_v0.1,mock,qwen3:8b,Brazil Presidential Election,Brazil Presidential Election,17,RSO-0080,Ronaldo Caiado,Will Ronaldo Caiado win the 2026 Brazilian presidential election?,Brazil,brazil_presidential,presidential_two_round,brazil_president_winner_2026,601827,0xbca3d70ec52a5a441ccc365a3b1b48b9cd0f08dfff4bc5871e2cd92d0d92caa1,will-ronaldo-caiado-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-ronaldo-caiado-win-the-2026-brazilian-presidential-election,36262307788727352725358528951052957737657822670589615830114396216160368496388,0.05384615,0.05384615,0.25,Mock allocation.,MOCK group estimate for pipeline testing only.,"[""mock mode"", ""no real evidence used""]",0.99999998,false,"[""evidence/shared/brazil_context.md"", ""evidence/parents/brazil-president-winner-2026.md"", ""evidence/parents/brazil-presidential-election.md""]",a29ddd32d0c0c158,"{""group_confidence"": 0.25, ""group_rationale_short"": ""MOCK group estimate for pipeline testing only."", ""key_uncertainties"": [""mock mode"", ""no real evidence used""], ""allocations"": [{""tracking_id"": ""RSO-0076"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0077"", ""fair_value"": 0.07362637362637363, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0078"", ""fair_value"": 0.07582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0079"", ""fair_value"": 0.013186813186813187, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0080"", ""fair_value"": 0.05384615384615385, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0081"", ""fair_value"": 0.024175824175824177, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0082"", ""fair_value"": 0.1021978021978022, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0083"", ""fair_value"": 0.07802197802197802, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0084"", ""fair_value"": 0.07142857142857142, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0085"", ""fair_value"": 0.0032967032967032967, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0086"", ""fair_value"": 0.08461538461538462, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0087"", ""fair_value"": 0.07692307692307693, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0088"", ""fair_value"": 0.08241758241758242, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0089"", ""fair_value"": 0.051648351648351645, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0090"", ""fair_value"": 0.1043956043956044, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0091"", ""fair_value"": 0.017582417582417582, ""rationale_short"": ""Mock allocation.""}, {""tracking_id"": ""RSO-0092"", ""fair_value"": 0.00989010989010989, ""rationale_short"": ""Mock allocation.""}]}",OK,,0.0125,mid,,true
