signal_input_id,snapshot_id,timestamp_utc,tracking_id,parent_market_name,market_name,primary_outcome_to_track,region,bucket,system_type,underlying_event_group,gamma_market_id,condition_id,exact_polymarket_slug,market_url,token_label,token_id,outcome_contract_question,source_orderbook_status,best_bid,best_ask,mid,spread,comparison_price,price_type,executable_buy_price,executable_sell_price,bid_size_at_best,ask_size_at_best,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_depth_1c,ask_depth_3c,ask_depth_5c,total_bid_depth,total_ask_depth,liquidity_flags,signal_ready,skip_reason,book_timestamp,book_hash
20260626T151548Z:RSO-0001:YES:1,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0001,"Senate control, 2026","Senate control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_senate_control_2026,562794,0x86bfb53af7250a40928975c551d12c185b762fa4ce0b40c6a64a50c946d72587,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,YES,51939490109676186832507970701169130490548061087912630009168726706475001411420,Will the Republican Party control the Senate after the 2026 Midterm elections?,OK,0.011,0.012,0.0115,0.001,0.0115,mid,0.012,0.011,13682.05,16086.61,789960.02,789960.02,789960.02,35874.34,62932.4,106023.28,789960.02,23960872.23,,true,,1782486945050,c7cf7e2d6960b59172b3c39c6a2fb8450a8fa5d1
20260626T151548Z:RSO-0002:YES:2,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0002,"Senate control, 2026","Senate control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_senate_control_2026,562793,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections,YES,113287701564209339913693347405685749986285999146352375265161592243948562084773,Will the Democratic Party control the Senate after the 2026 Midterm elections?,OK,0.075,0.086,0.0805,0.011,0.0805,mid,0.086,0.075,47.17,86.57,442.61,1042.61,1093.61,116.57,922.82,1502.82,626910.86,699784.96,,true,,1782486940771,ff2793ba35f51f26ff88e7c7114df106a5234ebc
20260626T151548Z:RSO-0003:YES:3,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0003,"House control, 2026","House control, 2026 — Republican Party",Republican Party,US,us_national,us_federal,us_house_control_2026,562803,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-control-the-house-after-the-2026-midterm-elections,YES,65139230827417363158752884968303867495725894165574887635816574090175320800482,Will the Republican Party control the House after the 2026 Midterm elections?,OK,0.5,0.51,0.505,0.01,0.505,mid,0.51,0.5,4.55,147.61,94.52,482.04,482.04,556.33,2571.68,4768.26,453250.08,247983.78,,true,,1782486944972,e377957d7ef3f60a43abc1abbd3e351b1e99c81b
20260626T151548Z:RSO-0004:YES:4,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0004,"House control, 2026","House control, 2026 — Democratic Party",Democratic Party,US,us_national,us_federal,us_house_control_2026,562802,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,YES,83247781037352156539108067944461291821683755894607244160607042790356561625563,Will the Democratic Party control the House after the 2026 Midterm elections?,OK,0.13,0.14,0.135,0.01,0.135,mid,0.14,0.13,404.91,1370,404.91,2750.72,3263.38,2697.62,4711.57,5161.57,3302.57,136747.42,,true,,1782486898829,d92af8df0c6fddb6e301e144df8e263c2a724525
20260626T151548Z:RSO-0005:YES:5,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0005,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — Below 190,Below 190,US,us_national,us_federal,us_house_seat_range_2026,919489,0xa2e43598547f2e90e3eee195812c8814202b9b66f6c540d7e15a265cbe93f68f,will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-below-190-house-seats-after-the-2026-midterm-elections,YES,106321904011141120286469207995805275978977204556483905903452161304048552011252,Will the Republican Party hold below 190 House seats after the 2026 midterm elections?,OK,0.032,0.038,0.035,0.006,0.035,mid,0.038,0.032,100,267.17,12551.02,32381.43,129385.21,4409.88,5271.88,5356.88,129385.21,2501757.66,,true,,1782486945179,623000f1b031bb69661fa6c29655028f36de59ec
20260626T151548Z:RSO-0006:YES:6,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0006,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 190-194,190-194,US,us_national,us_federal,us_house_seat_range_2026,919490,0x18cc1dd29f0b816135d5337cebae4d1f8b42a2c8b951e893936f35fd235ecc94,will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-190-and-194-house-seats-after-the-2026-midterm-elections,YES,28563039514548428320768176747354466148898869862983186828076262234559578730437,Will the Republican Party hold between 190 and 194 House seats after the 2026 midterm elections?,OK,0.49,0.51,0.5,0.02,0.5,mid,0.51,0.49,208,25,564.03,1419.03,2507.57,773.73,2370.35,2610.35,355995.21,331418.32,,true,,1782486948200,b7f41bd846b47856dcacbd2350cb83de60d64a4a
20260626T151548Z:RSO-0007:YES:7,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0007,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 195-199,195-199,US,us_national,us_federal,us_house_seat_range_2026,919491,0xa6af312109c285d70f39a4f8d8e3d4a2e7e12bcabe5ab03527396a3a1377925d,will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-195-and-199-house-seats-after-the-2026-midterm-elections,YES,115193834526916935745756977772378619467834046854963255708898687971795314424675,Will the Republican Party hold between 195 and 199 House seats after the 2026 midterm elections?,OK,0.002,0.003,0.0025,0.001,0.0025,mid,0.003,0.002,476.06,206.55,24784.06,24784.06,24784.06,487.88,631.79,631.79,24784.06,180613.88,,true,,1782486946953,3eaa78cd66578311773413b80ebd5834138ada35
20260626T151548Z:RSO-0008:YES:8,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0008,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 200-204,200-204,US,us_national,us_federal,us_house_seat_range_2026,919492,0x7ff4e4b2f389acdd96ef18bb34684b9219a972b7ef0cde5856d28f5d5325f3d4,will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-200-and-204-house-seats-after-the-2026-midterm-elections,YES,72002069499527925398637560287453277989370912181886433715927009264225913591577,Will the Republican Party hold between 200 and 204 House seats after the 2026 midterm elections?,OK,0.3,0.31,0.305,0.01,0.305,mid,0.31,0.3,123.27,106.01,414.27,2670.63,3638.42,290.64,597.3,1837.24,54646.11,121979.09,,true,,1782486945000,3a62526ec96fbd9eb050dd87e45466e1d7913507
20260626T151548Z:RSO-0009:YES:9,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0009,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 205-209,205-209,US,us_national,us_federal,us_house_seat_range_2026,919493,0x55f8333c05a9693135c74efeb660c473d9b7a46c02be73ce828914313dda5faf,will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-205-and-209-house-seats-after-the-2026-midterm-elections,YES,29313994937981195788931635785989333043799554756927714294439868926183474951020,Will the Republican Party hold between 205 and 209 House seats after the 2026 midterm elections?,OK,0.25,0.26,0.255,0.01,0.255,mid,0.26,0.25,4797.1,2555.07,9206.06,12907.55,12947.55,4349.25,6454.47,6737.47,61558,535232.34,,true,,1782486945179,30a12f941719a6c292ada5b2d0c936300cd4cfcc
20260626T151548Z:RSO-0010:YES:10,20260626T151548Z,2026-06-26T15:15:48Z,RSO-0010,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 210-214,210-214,US,us_national,us_federal,us_house_seat_range_2026,919494,0xf301c0842eeb33bd0a7718e4775bfb98b326a28bf837e18d65057e3516a5f6cb,will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,https://polymarket.com/event/will-the-republican-party-hold-between-210-and-214-house-seats-after-the-2026-midterm-elections,YES,54380927206833851183661949055792883595494421437547231435217946779970572480742,Will the Republican Party hold between 210 and 214 House seats after the 2026 midterm elections?,OK,0.61,0.62,0.615,0.01,0.615,mid,0.62,0.61,6898.42,18.83,8433.42,8604.42,8818.42,2763.28,8518.31,16742.88,369906.63,724800.58,,true,,1782486948186,c948979cd29e1bdb4b891215a2ab8efdfd28f8cd
